APN,Acreage,Address,Assessed Value,Asset Category,City,Coordinates,County,Land Use Description,Listed Owners,Market Value,State,Tax Year,ZIP
006-30A-029,3.13,234 Boyd Kennedy Rd,770588.0,Special Purpose,Spring Creek,"[-115.6448586192, 40.7791312397]",Elko County,Religious,The Church Of Jesus Christ,2201680.0,NV,2019,89815
204-200-05,2.478,2050 Robb Dr,770512.0,Special Purpose,Reno,"[-119.8811587495, 39.5338266128]",Washoe County,Religious,Church of Jesus Christ of LDS,2201464.0,NV,2019,89523
706-29-026,4.0521,Land Only,2201113.0,Vacant Land,San Jose,"[-121.7730496725, 37.2289456464]",Santa Clara County,Forest,"Church Of Jesus Christ LDS Corp Pres Bishop, Tax Adm Div 513-9384",2201113.0,CA,2019,95139
0636035034AB,4.869,1824 E 16Th Ave,2200268.0,Special Purpose,Post Falls,"[-116.9191588059, 47.7222433518]",Kootenai County,Religious,Church of Jesus Christ-Lds,2200268.0,ID,2019,83854
R0129348,4.452,200 2Nd Ave,638000.0,Special Purpose,Lyons,"[-105.2637445027, 40.2182893924]",Boulder County,Religious,"Church of Jesus Christ, Corporation of The Presiding Bishop",2200000.0,CO,2019,80540
055-200-061-000,3.2,287 Poet Smith Dr,2198218.0,Special Purpose,Auburn,"[-121.0724717703, 38.8776712878]",Placer County,Religious,Church of Jesus Christ of LDS,2198218.0,CA,2019,95603
31-22-23-0000-00-027,8.99,1375 Woodbury Rd,2198123.0,Special Purpose,Orlando,"[-81.1936069412, 28.5553797772]",Orange County,Religious,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Church of Jesus Christ of Latter Day",2198123.0,FL,2019,32828
130-0A-00-021-A,7.253,4181 Prince George Dr,2198100.0,Special Purpose,Prince George,"[-77.2791711282, 37.2554427581]",Prince George County,Religious,Church of Jesus Christ of Latter Day Saints,2198100.0,VA,2019,23875
330920210002,470.43,3097 Adkins Rd,652660.0,Agricultural,Prescott,"[-118.7107733668, 46.2430861089]",Walla Walla County,Agricultural,Farmland Reserve Inc,2198010.0,WA,2019,99348
R13335-114-4500,2.08,201 Ne Oleary St,2195572.0,Special Purpose,Oak Harbor,"[-122.6400533462, 48.2996103183]",Island County,Religious,"Tax Admin Div 502-5001, Corp Pres Bishop Church",2195572.0,WA,2019,98277
26154.0038,2.9151,5001 W Shawnee Ave,2195240.0,Special Purpose,Spokane,"[-117.4837979992, 47.7448170414]",Spokane County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter Day Saints Church",2195240.0,WA,2019,99208
28-17-182-031-0000,3.96,949 E 10600 S,2194490.0,Special Purpose,Sandy,"[-111.8644153877, 40.5596089117]",Salt Lake County,Religious,Corp Of Pres Bishop Of Ch Of Jc Of LDS,2194490.0,UT,2019,84094
05-036-0007,3.015,2649 S 50Th W,2192473.0,Special Purpose,Bountiful,"[-111.8803845413, 40.860460055]",Davis County,Religious,Corporation of The Presiding Bishop,2192473.0,UT,2019,84010
141-09-014-J,3.9027,1911 N 24Th St,328650.0,Special Purpose,Mesa,"[-111.7783544847, 33.4502595808]",Maricopa County,Religious,Corp Presiding Bishop Church Of LDS,2191000.0,AZ,2019,85213
104-25-001M,5.1121,41246 N Barnes Pkwy,328568.0,Special Purpose,San Tan Valley,"[-111.5737099769, 33.2538935576]",Pinal County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church of Jesus Christ of Latter-Day Sai",2190453.0,AZ,2019,85140
027-041-05,4.12,2955 Rock Blvd,766158.0,Special Purpose,Sparks,"[-119.7631812581, 39.5569373767]",Washoe County,Religious,Corporation of The Presiding Bishop,2189022.0,NV,2019,89431
100-0-094-265,1.12,604 Ojai Rd,2188356.0,Special Purpose,Santa Paula,"[-119.0622700015, 34.3631194802]",Ventura County,Religious,Church-Jesus Christ-Lds,2188356.0,CA,2019,93060
133-34-006-K,3.87,1875 E Del Rio Dr,328170.0,Special Purpose,Tempe,"[-111.9048033794, 33.3960596582]",Maricopa County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2187800.0,AZ,2019,85282
LITT-000020R-000004-D000000,2.75,616 Great Rd,2186800.0,Public & Semi-Public,Littleton,"[-71.4973913235, 42.5616417338]",Middlesex County,Tax Exempt,Corporation of The Presiding Bishop,2186800.0,MA,2019,1460
676794,4.23,912 S 1740 E,2186700.0,Public & Semi-Public,St George,"[-113.5474592042, 37.0922747947]",Washington County,Tax Exempt,Corp Of Pres Bishop Of Church Of LDS,2186700.0,UT,2019,84790
28-08-402-007-0000,3.58,1014 E Galena Dr,2186600.0,Public & Semi-Public,Sandy,"[-111.8619506102, 40.572577047]",Salt Lake County,Government/Public Use (General),Corp Pf Pb Of Ch Jc Of LDS,2186600.0,UT,2019,84094
12-043-0057,2.39,,2184525.0,Special Purpose,Clearfield,"[-112.1101538689, 41.1174768373]",Davis County,Religious,Corp. of Pres Bishop of LDS Chu,2184525.0,UT,2019,84015
139-16-003-B,2.619,940 E Southern Ave,327615.0,Special Purpose,Mesa,"[-111.8114347919, 33.3940799228]",Maricopa County,Religious,Corporation of The Presiding Bishop,2184100.0,AZ,2019,85204
08-25-32-0000-0010-0000,545.694,Absher Rd,33400.0,Agricultural,Saint Cloud,"[-81.1340876892, 28.3281814593]",Osceola County,Pasture,Farmland Reserve Inc,2182800.0,FL,2019,34771
28-22-351-014-0000,2.8,11755 S Highland Dr,2182790.0,Special Purpose,Salt Lake City,"[-111.8306541257, 40.5383326436]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2182790.0,UT,2019,84150
10-064-0063,7.652,,2180066.0,Special Purpose,Layton,"[-112.0057476174, 41.0613968884]",Davis County,Religious,"502-8876, Corp Of Presiding Bishop Of The Church Of Jesus Christ Of Ld",2180066.0,UT,2019,84041
41040015,4.273,2520 8Th Ave,2179582.0,Special Purpose,Fort Worth,"[-97.344652521, 32.71467015]",Tarrant County,Religious,Church Of Jesus Christ Lds,2179582.0,TX,2019,76110
301-28-001,156.84,5131 N Pine Creek Canyon Rd,326784.0,Special Purpose,Pine,"[-111.4434565086, 34.4137081518]",Gila County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church of Jesus Christ of",2178562.0,AZ,2019,85544
068-0454-019-0000,2.23,9821 Old Placerville Rd,2177741.0,Special Purpose,Sacramento,"[-121.3297024846, 38.5578550231]",Sacramento County,Religious,"Church of Jesus Christ LDS, Church of Jesus Christ-Lds",2177741.0,CA,2019,95827
14-302-0001,3.08,2865 W 800Th N,2177557.0,Special Purpose,West Point,"[-112.0805266539, 41.1247844715]",Davis County,Religious,Corp. of Pres Bishop of LDS Chu,2177557.0,UT,2019,84015
072-150-62,10.8,1919 W Coronet Ave,2177080.0,Commercial General/Misc.,Anaheim,"[-117.948382804, 33.852849705]",Orange County,Commercial (General),Property Reserve Inc,2177080.0,CA,2019,92801
065-150-024,2.24,3000 Ironwood Ave,2176423.0,Special Purpose,Morro Bay,"[-120.8561672242, 35.3972206365]",San Luis Obispo County,Religious,Latter Day Saints,2176423.0,CA,2019,93442
138-07-079-A,4.003,1345 E University Dr,326250.0,Special Purpose,Mesa,"[-111.8019710884, 33.4220114877]",Maricopa County,Religious,Church Of Jesus Christ LDS Corp Pres Bis,2175000.0,AZ,2019,85203
15-10-478-016-0000,1.76,1172 S Glendale Dr,2173790.0,Special Purpose,Salt Lake City,"[-111.9314057697, 40.7432866147]",Salt Lake County,Religious,Glendale Park First Corp Of Ch Of Jc Of,2173790.0,UT,2019,84104
021-131-016-000,10.0,1259 French Ave,2172051.0,Special Purpose,Gridley,"[-121.7146735578, 39.3510431898]",Butte County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church of Jesus Christ of Latter-Day Sts, Church of Jesus Christ of Latter Day Sts",2172051.0,CA,2019,95948
12-035-0080,21.72,,2171201.0,Special Purpose,Syracuse,"[-112.069617216, 41.107007968]",Davis County,Religious,Corp. of Pres Bishop of LDS Chu,2171201.0,UT,2019,84075
002-086-005-510,1.72,1308 N Main St,2169084.0,Special Purpose,Alturas,"[-120.541780817, 41.4960828072]",Modoc County,Religious,Church of Jesus Christ of Latter Day Saints,2169084.0,CA,2019,96101
1-5-4-005-005-0000,2.551,54 Hauula Homestead Rd,2168000.0,Agricultural,Hauula,"[-157.9131804946, 21.6081503969]",Honolulu County,Agricultural,Church of Jesus Christ-Lds,2168000.0,HI,2019,96717
BROO-000254-000002-000002,1.2556,603 Boylston St,2167800.0,Public & Semi-Public,Brookline,"[-71.1374702728, 42.3282527292]",Norfolk County,Tax Exempt,"Church of Jesus Christ, Church of Jesus Christ of Latter Day Saints",2167800.0,MA,2019,2445
14-05449-00C-001-0000,4.7207,1100 W Jackson Rd,2163750.0,Mixed Use,Carrollton,"[-96.915034776, 32.976558814]",Dallas County,Mixed Use: Office/Retail,Church Of Jesus Christ Of,2163750.0,TX,2019,75006
1619500000,6.54,1500 Smith Ave,2161890.0,Public & Semi-Public,Nampa,"[-116.5996455497, 43.5843381677]",Canyon County,Tax Exempt,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",2161890.0,ID,2019,83651
09-225-0091,3.047,1075 E 3250 N,2159432.0,Special Purpose,Layton,"[-111.9457865568, 41.1079405095]",Davis County,Religious,Corp Of Presiding Bishop Of The Church Of Jesus Christ Of Ld,2159432.0,UT,2019,84040
1022-331-08-0000,3.96,3354 Eucalyptus Ave,2158418.0,Special Purpose,Chino Hills,"[-117.7309471261, 33.9906480356]",San Bernardino County,Religious,Corp Pres Bishop Ch J C L D S,2158418.0,CA,2019,91709
16-19-176-028-0000,2.4656,2280 S 300Th E,2158090.0,Special Purpose,Salt Lake City,"[-111.8837412536, 40.7210119011]",Salt Lake County,Religious,Haven Corp Of Ch Jc Of LDS,2158090.0,UT,2019,84115
007-631-009,2.2541,751 S Traffic Way,2157747.0,Special Purpose,Arroyo Grande,"[-120.5685347179, 35.1147244158]",San Luis Obispo County,Religious,Latter Day Saints Ag,2157747.0,CA,2019,93420
004-005-008,3.3,1501 Linden Ave,2155550.0,Special Purpose,Carpinteria,"[-119.5163299036, 34.4061075619]",Santa Barbara County,Religious,Corp & Prs Bis & Church Jc Latter Day Saints,2155550.0,CA,2019,93013
21-036-0017,35.9237,,2155400.0,Vacant Land,Provo,"[-111.709365, 40.21693]",Utah County,General Vacant Land,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, John W Hardy, Brigham Young University, Byu",2155400.0,UT,2019,84601
R7584,1026.27,W Hwy 84,34500.0,Agricultural,Coolidge,"[-96.4809036255, 31.6694393158]",Limestone County,Agricultural,Farmland Reserve Inc,2155170.0,TX,2019,76635
0131-331-240,2.28,360 Portsmouth Ave,2153844.0,Special Purpose,Vacaville,"[-121.9572009717, 38.3531613596]",Solano County,Religious,"Church of Jesus Christ-Lds, Church of Jesus Christ LDS, Lds Church",2153844.0,CA,2019,95687
073-008C,4.61,284 Ga Highway 56 N,861521.0,Special Purpose,Waynesboro,"[-81.9877527808, 33.1032380565]",Burke County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter-Day Saints, Latter Day Saints",2153801.0,GA,2019,30830
0038-D-00260-0000-00,1.705,46 School St,2152300.0,Special Purpose,Pittsburgh,"[-80.0504506671, 40.4222342119]",Allegheny County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2152300.0,PA,2019,15220
234-18-0-14-05-002.00,4.3,1409 S Rock Rd,,Special Purpose,Derby,"[-97.245676095, 37.528102652]",Sedgwick County,Religious,Ks Corp Church Of Jesus Christ Of Lds,2151930.0,KS,2019,67037
1.30E+15,379.7,12232 Plattsburg Rd,753020.0,Agricultural,South Charleston,"[-83.5785503378, 39.8979203261]",Clark County,Farm,Farmland Reserve Inc,2151480.0,OH,2019,45368
1-022-058-407412-1-08-01,3.09,12701 Indian School Ne Rd,717062.0,Special Purpose,Albuquerque,"[-106.501729834, 35.0975588504]",Bernalillo County,Religious,Church Of Jesus Christ Ldsre 515-0604,2151400.0,NM,2019,87112
14-09-29-0-002-049.000,4.76,1804 Sparkman Nw Dr,430240.0,Special Purpose,Huntsville,"[-86.6454310978, 34.7460208214]",Madison County,Religious,"Temple Salt Lake, Church of Jesus Christ of Latter Day St, Church of Jesus Christ of Latter Day, Corporation Of The Presiding Bishop Of T",2151200.0,AL,2019,35816
08-36-476-054-0000,1.38,134 W Northtemple St,2150900.0,Special Purpose,Salt Lake City,"[-111.8947836531, 40.7719532434]",Salt Lake County,Parking Lot,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Property Reserve Inc",2150900.0,UT,2019,84150
12-094-0093,3.69,,2150552.0,Special Purpose,Syracuse,"[-112.067529433, 41.0773882463]",Davis County,Religious,Corp Of Presiding Bishop Of The Church Of Jesus Christ Of Ld,2150552.0,UT,2019,84075
288306,0.24,1608 Alder St,1126783.0,Multifamily,Eugene,"[-123.0805276762, 44.0420082172]",Lane County,Multi Family (General),"Church of Jesus Christ L D S, Church of Jesus Christ LDS, Church of Jesus Christ-Lds",2150163.0,OR,2019,97401
27-11-151-017-0000,3.01,1244 W Chavez Dr,2148090.0,Special Purpose,South Jordan,"[-111.927106341, 40.5756907126]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2148090.0,UT,2019,84095
18-19F-00010000,3.3482,Tyrone Avery Rd,1288620.0,Special Purpose,Morgantown,"[-79.8687933801, 39.6507878708]",Monongalia County,Religious,"Latter Day Saints, Church of Jesus Christ of",2147700.0,WV,2019,26508
035-310-50,2.79,7625 Shadow Ln,751606.0,Special Purpose,Sparks,"[-119.720175246, 39.5641133958]",Washoe County,Religious,Church of Jesus Christ of LDS,2147447.0,NV,2019,89434
699-50-001,4.75,8451 E 36Th St,322044.0,Special Purpose,Yuma,"[-114.4876422038, 32.6623499652]",Yuma County,Religious,Church of Jesus Christ of LDS,2146958.0,AZ,2019,85365
5320-032-039,2.4725,1919 Huntington Dr,2145660.0,Special Purpose,South Pasadena,"[-118.1432692975, 34.1035850791]",Los Angeles County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2145660.0,CA,2019,91030
48-42-19-14-0010,2.4556,3201 Lyons Rd,2144240.0,Special Purpose,Coconut Creek,"[-80.1870525431, 26.2667756429]",Broward County,Religious,"Ch of Jesus Christ of Latter Da, Utah North Area Sports, Church of Jesus Christ of Latt",2144240.0,FL,2019,33063
00065830-000000,1.72,3424 Northside Dr,2143404.0,Special Purpose,Key West,"[-81.7610471824, 24.5696087506]",Monroe County,Religious,Corp Of The Presi Bish Jesus Christ Latter-Day Sts,2143404.0,FL,2019,33040
20-25-32-0000-0010-0000,535.36,,33400.0,Agricultural,Saint Cloud,"[-81.138503236, 28.2956044423]",Osceola County,Pasture,Farmland Reserve Inc,2141400.0,FL,2019,34771
03-95-28-130-000.100-005,4.2,4850 W Goeller Blvd,2141200.0,Office,Columbus,"[-85.9763494855, 39.1931623674]",Bartholomew County,Office Building,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",2141200.0,IN,2019,47201
161-18-801-002,3.76,3901 E Viking Rd,749274.0,Special Purpose,Las Vegas,"[-115.0898260985, 36.1180229928]",Clark County,Religious,Church L D S Presiding Bishop,2140783.0,NV,2019,89121
18.01.4.83.001,2.5,902 17Th Sw St,2115200.0,Special Purpose,Faribault,"[-93.2833473746, 44.2693528678]",Rice County,Religious,Church Of Latter Day Saints,2139300.0,MN,2019,55021
0473-141-15-0000,4.18,15540 Tuscola Rd,2138934.0,Special Purpose,Apple Valley,"[-117.2698217566, 34.5336428435]",San Bernardino County,Religious,Church of Jesus Christ of LDS,2138934.0,CA,2019,92307
26-36-400-064-0000,6.68,4920 W 13400 S,2138700.0,Vacant Land,Herriman,"[-112.0084556799, 40.5091485239]",Salt Lake County,Commercial Vacant Land,Corp Pb Of Ch Jc Of LDS,2138700.0,UT,2019,84096
019-011-19,3.76,1095 Golconda Dr,748341.0,Special Purpose,Reno,"[-119.8255926931, 39.5034068332]",Washoe County,Religious,Corporation of The Presiding Bishop,2138116.0,NV,2019,89509
28-2S-21-42000-023-0060,4.621,99 N Geronimo St,2137143.0,Special Purpose,Miramar Beach,"[-86.3612982028, 30.3847610345]",Walton County,Religious,"Bishop Of The Church Of Latter, Corp Of The Presiding",2137143.0,FL,2019,32550
250-180-37-00,5.96,2353 Ethelwyn Ln,2134637.0,Special Purpose,Julian,"[-116.5930780997, 33.0803699654]",San Diego County,Religious,Corporation of The Presiding Bishop,2134637.0,CA,2019,92036
132848000,2.25,3920 Q St,2134440.0,Special Purpose,Washougal,"[-122.326224842, 45.5881020948]",Clark County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter Day Saints Church",2134440.0,WA,2019,98671
01-025899,4.33,2806 Emmorton Rd,2077500.0,Special Purpose,Abingdon,"[-76.3130654628, 39.4818596611]",Harford County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Church of Jesus Christ of Latter Day Saints",2133600.0,MD,2019,21009
001-16-201-040,4.08,100 N Arrowhead Ln,746593.0,Special Purpose,Mesquite,"[-114.0748230785, 36.8053858808]",Clark County,Religious,Church L D S Presiding Bishop,2133123.0,NV,2019,89027
R0651000,5.992,1521 S Hillcrest Dr,618460.0,Special Purpose,Montrose,"[-107.8558023123, 38.4706020548]",Montrose County,Religious,Church of Jesus Christ of Latter Day Saints,2132630.0,CO,2019,81401
10-023-0075,3.11,,2131976.0,Special Purpose,Layton,"[-111.9581716818, 41.0804809228]",Davis County,Religious,Corporation of The Presiding Bishop,2131976.0,UT,2019,84041
64.12.43.013508,3.0,1002 16Th Se St,2131400.0,Special Purpose,Rochester,"[-92.4465216784, 43.9997484035]",Olmsted County,Religious,"Church of Jesus Christ, Church of Jesus Christ of Latter Day Saints",2131400.0,MN,2019,55904
172501-1-032-20-07,5.0,11070 Old Frontier Nw Rd,2130070.0,Special Purpose,Silverdale,"[-122.7018588826, 47.6634836189]",Kitsap County,Religious,The Church Of Jesus Christ,2130070.0,WA,2019,98383
21-20-177-005-0000,3.14,6530 S Dixie Dr,2129500.0,Special Purpose,West Jordan,"[-111.9804473766, 40.632464972]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2129500.0,UT,2019,84084
159175000,5.0,7101 Ne 166Th Ave,2129100.0,Special Purpose,Vancouver,"[-122.4998210072, 45.6743778808]",Clark County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Latter Day Saints Church",2129100.0,WA,2019,98682
140-13-545,2.4394,745 N Valley Vista Dr,319275.0,Special Purpose,Mesa,"[-111.7526864687, 33.4295428364]",Maricopa County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2128500.0,AZ,2019,85213
003-221-290,1.02,1399 Brunswick St,2128056.0,Special Purpose,Daly City,"[-122.4615554759, 37.7037871006]",San Mateo County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints",2128056.0,CA,2019,94014
140-46-313-A,2.8516,825 S 32Nd St,319200.0,Special Purpose,Mesa,"[-111.7618115117, 33.3999811913]",Maricopa County,Religious,Corp Presiding Bishop Ch LDS,2128000.0,AZ,2019,85204
09-175-0004,1.22,,2119517.0,Special Purpose,Roy,"[-112.0544729186, 41.1703528008]",Weber County,Religious,Corp Pres Bp Ch Jesus Christ LDS,2119517.0,UT,2019,84067
R106443,2.5,1000 Country Club Rd,,Special Purpose,Woodburn,"[-122.8598828542, 45.1549971482]",Marion County,Religious,"Corp Presiding Bishop, Tax Division Floor 22",2118880.0,OR,2019,97071
061-011-150,2.36,1001 W Miner St,2117323.0,Special Purpose,Yreka,"[-122.6519723472, 41.7345915101]",Siskiyou County,Religious,"Lds Church A/V Dept, Lds Church",2117323.0,CA,2019,96097
0261-00-105-0052-901,4.858,Jordan Ranch Blvd,2116140.0,Vacant Land,Brookshire,"[-95.899952461, 29.749491516]",Fort Bend County,Commercial Vacant Land,Corp Of The Presiding Bishop Of The Church Of Jesus C,2116140.0,TX,2019,77423
141-05-086,3.0308,2618 N Lindsay Rd,316950.0,Special Purpose,Mesa,"[-111.7713924705, 33.4631839744]",Maricopa County,Religious,Church of Jesus Christ-Lds,2113000.0,AZ,2019,85213
16-15-126-003-0000,1.36,2215 E Roosevelt Ave,2109990.0,Special Purpose,Salt Lake City,"[-111.8274935508, 40.7381891119]",Salt Lake County,Religious,Corp Of Presiding Bishop Of Ch Of Jc Of,2109990.0,UT,2019,84108
078-0-106-025,2.96,3501 Loma Vista Rd,2107645.0,Special Purpose,Ventura,"[-119.2481419536, 34.2781562328]",Ventura County,Religious,Church-Jesus Christ-Lds,2107645.0,CA,2019,93003
107115,639.13,73807 Highway 207,140508.0,Agricultural,Echo,"[-119.3415435774, 45.6827291875]",Umatilla County,Farm,Farmland Reserve Inc,2107410.0,OR,2018,97826
R20436,3.0,1375 Lockhaven Ne Dr,,Special Purpose,Keizer,"[-123.0143980455, 45.0063242185]",Marion County,Religious,"Corp Presiding Bishop, Tax Division Floor 22",2105980.0,OR,2019,97303
14-048-0110,3.501,400 N 3500 W,2104922.0,Special Purpose,West Point,"[-112.0928831712, 41.1186237849]",Davis County,Religious,Corporation of The Presiding Bishop,2104922.0,UT,2019,84015
28-09-426-002-0000,0.92,1880 E 9800 S,2103990.0,Special Purpose,Sandy,"[-111.8377084373, 40.5725890794]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2103990.0,UT,2019,84092
7145-008-018,1.7075,3701 Elm Ave,2103614.0,Special Purpose,Long Beach,"[-118.1883286262, 33.8252031399]",Los Angeles County,Religious,Church of Jesus Christ of LDS,2103614.0,CA,2019,90807
27-09-276-006-0000,2.63,9750 S 2200 W,2103190.0,Special Purpose,South Jordan,"[-111.9489783099, 40.5742530798]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2103190.0,UT,2019,84095
147-615-95630-000,4.692,4784 Princess Anne Rd,2102400.0,Special Purpose,Virginia Beach,"[-76.1457470302, 36.81687507]",Virginia Beach City,Religious,Corp Of The Presiding Etc,2102400.0,VA,2019,23462
45333.919,3.719,4014 S Bowdish Rd,2100800.0,Special Purpose,Spokane,"[-117.252555215, 47.6201826662]",Spokane County,Religious,Church of Jesus Christ of LDS,2100800.0,WA,2019,99206
28-08-478-015-0000,3.14,1280 E Turquoise Way,2099990.0,Public & Semi-Public,Sandy,"[-111.8538033328, 40.5684473076]",Salt Lake County,School,Corp Of Pb Of Ch Of Jc Of LDS,2099990.0,UT,2019,84094
10-067-0096,2.81,,2098317.0,Office,Layton,"[-111.9826865965, 41.0739887766]",Davis County,Office Building,Corporation of The Presiding Bishop,2098317.0,UT,2019,84041
35353.041,2.0523,4444 E 43Rd Ave,2095700.0,Special Purpose,Spokane,"[-117.3448733651, 47.6145337792]",Spokane County,Religious,Church Of Latter Day Saints,2095700.0,WA,2019,99223
3046-021-033,2.2432,35248 87Th E St,2095408.0,Special Purpose,Littlerock,"[-117.9742784043, 34.5226845575]",Los Angeles County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2095408.0,CA,2019,93543
429-14-026,3.8185,1336 Cherry Ave,2092989.0,Special Purpose,San Jose,"[-121.9032648517, 37.3021487509]",Santa Clara County,Religious,"Temple Salt Lake, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Intellectural Reserve Inc, Corporation Of The Presiding Bishop Of T, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",2092989.0,CA,2019,95125
05-29-34-0000-0010-0000,523.03,10 Ten Mile Rd,62100.0,Agricultural,Kenansville,"[-80.9477447526, 27.9942048345]",Osceola County,Pasture,Farmland Reserve Inc,2092100.0,FL,2019,34739
6145515,1.948,3801 Curt Dr,2091476.0,Special Purpose,Arlington,"[-97.168234089, 32.687851872]",Tarrant County,Religious,Church Of Jesus Christ Lds,2091476.0,TX,2019,76016
3-360-26889800,3.77,409 5Th Se Ave,2090100.0,Special Purpose,Glen Burnie,"[-76.6217111298, 39.1568519092]",Anne Arundel County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",2090100.0,MD,2019,21061
16-11-326-011-0000,2.9,2795 E Crestview Dr,2089790.0,Special Purpose,Salt Lake City,"[-111.810003607, 40.747304746]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,2089790.0,UT,2019,84108
1-5-6-006-058-0000,99.065,56 Kamehameha Hwy,192900.0,Agricultural,Kahuku,"[-157.941869614, 21.668455827]",Honolulu County,Agricultural,Property Reserve Inc,2089700.0,HI,2019,96731
29-5,11.77,7145 Browntown Rd,2088600.0,Special Purpose,Front Royal,"[-78.2050443745, 38.9023858794]",Warren County,Religious,"Latter Day Saints, Latter Day Saints Church",2088600.0,VA,2019,22630
08-032556,4.05,4117 Lower Beckleysville Rd,2088400.0,Special Purpose,Hampstead,"[-76.8467373451, 39.6024867031]",Carroll County,Religious,"Tax Administration 22Nd Fl, Church Of Latter Day Saints",2088400.0,MD,2019,21074
64233-04-009,2.64,4090 Center Park Dr,,Special Purpose,Colorado Springs,"[-104.7509609344, 38.8119025841]",El Paso County,Religious,Church of Jesus Christ of LDS,2088245.0,CO,2019,80916
069763-0010,3.9583,4087 Hendricks Ave,2088177.0,Special Purpose,Jacksonville,"[-81.6492774958, 30.2787800827]",Duval County,Religious,Church of Jesus Christ of LDS,2088177.0,FL,2019,32207
DERY-000009-000051-000001,4.73,46 Adams Pond Rd,2088100.0,Special Purpose,Derry,"[-71.2756461008, 42.9073852106]",Rockingham County,Religious,"Church of Jesus Christ, North Stake Family History Center",2088100.0,NH,2019,3038
4325-030-007,1.7116,10740 Ohio Ave,2087894.0,Special Purpose,Los Angeles,"[-118.4361021556, 34.0564409538]",Los Angeles County,Religious,"Church of Jesus Christ LDS, Church of Jesus Christ-Lds",2087894.0,CA,2019,90024
